#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-09-02T22:11:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ57c9f89b6880 
#INFO -out.max=100 
#INFO queryParameters=20 
#-oc.form=sexa
#-out.max=100
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/MNRAS/449/741&tab:{J/MNRAS/449/741/census}&key:source=J/MNRAS/449/741/census&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/449/741/census
#-order=I
#-out=SpType
#-out=AV
#-out=Umag
#-out=Bmag
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Kmag
#

#RESOURCE=yCat_74490741
#Name: J/MNRAS/449/741
#Title: The massive star population of Cygnus OB2 (Wright+, 2015)
#Table J_MNRAS_449_741_census:
#Name: J/MNRAS/449/741/census
#Title: Stellar photometry, spectral types and derived quantities, with uncertainties
#---Details of Columns:
    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
    SpType             (a16)   Spectral type of star and binary companions [ucd=src.spType]
    AV (mag)           (F5.2)  [2.1/10.2]? Extinction in the V band [ucd=phys.absorption;em.opt.V]
    Umag (mag)         (F5.2)  ? U band magnitude [ucd=phot.mag;em.opt.U]
    Bmag (mag)         (F5.2)  ? B band magnitude [ucd=phot.mag;em.opt.B]
    Vmag (mag)         (F5.2)  ? V band magnitude [ucd=phot.mag;em.opt.V]
    Jmag (mag)         (F6.3)  ? J band magnitude [ucd=phot.mag;em.IR.J]
    Hmag (mag)         (F6.3)  ? H band magnitude [ucd=phot.mag;em.IR.H]
    Kmag (mag)         (F6.3)  ? K band magnitude [ucd=phot.mag;em.IR.K]
----------- ----------- ---------------- ----- ----- ----- ----- ------ ------ ------
_RAJ200     _DEJ200                      AV    Umag  Bmag  Vmag  Jmag   Hmag   Kmag  
0 ("h:m:s") 0 ("d:m:s") SpType           (mag) (mag) (mag) (mag) (mag)  (mag)  (mag) 
----------- ----------- ---------------- ----- ----- ----- ----- ------ ------ ------
20 32 03.10 +41 15 19.9 WC4               4.96  99   15.99 13.97  9.407  8.593  7.710                            
20 32 06.28 +40 48 29.7 WN7o/CE+O7V((f))  5.76  99   13.46 11.83  7.373  6.714  6.239                                
20 35 47.09 +41 22 44.7 WC6+O8III         7.83  99    99   12.64  7.069  6.240  5.490                               
20 33 08.78 +41 13 18.1 O3If+O6V          6.92 14.33 13.59 11.55  7.110  6.540  6.226
20 33 14.16 +41 20 21.5 O3If              5.30 12.19 12.00 10.55  7.248  6.818  6.611
20 33 18.02 +41 18 31.0 O5III             4.85 11.57 11.43 10.19  7.165  6.792  6.579
20 33 10.74 +41 15 08.0 O5I+O3.5III       6.76 13.46 12.77 10.96  6.468  5.897  5.570
20 34 08.54 +41 36 59.3 O5If+B0V          5.40 11.70 11.53 10.04  6.650  6.226  5.990
20 33 23.46 +41 09 12.9 O5.5V             7.43 14.97 14.04 11.84  7.025  6.380  6.050
20 33 13.25 +41 13 28.6 O6V               7.22 16.63 15.76 13.61  8.982  8.346  8.009
20 31 37.50 +41 13 21.1 O6IV+O9III        5.84 12.30 11.83 10.22  6.498  6.001  5.748
20 33 15.18 +41 18 50.1 O6I+O5.5III       4.84 10.44 10.36  9.06  6.123  5.721  5.503
20 33 14.84 +41 18 41.4 O6.5III           5.12 11.99 11.77 10.33  7.209  6.762  6.570
20 34 44.10 +40 51 58.0 O6.5III           7.29 16.20 15.30  99    8.430  7.810  7.461
20 33 40.88 +41 30 18.5 O7V               5.54 14.61 14.32 12.77  9.263  8.866  8.614
20 34 13.50 +41 35 02.6 O7V               5.36 13.59 13.41 11.91  8.550  8.148  7.921
20 34 29.52 +41 31 45.5 O7V+O9V           6.93 14.72 14.11 12.06  7.560  7.030  6.709
20 31 59.61 +41 14 50.4 O7V               5.89  99   14.46  99    9.117  8.579  8.326
20 32 13.77 +41 27 12.7 O7III             4.39 11.47 11.41 10.22  7.582  7.248  7.105
20 32 22.43 +41 18 19.0 O7I+O6I+O9V       6.02 11.32 10.64  9.21  5.187  4.745  4.339
20 31 36.91 +40 59 09.1 O7I               8.26 17.18 15.83  99    7.940  7.210  6.805
20 30 27.30 +41 13 25.0 O7I+O9I           8.08 16.89 15.61  99    7.650  6.850  6.443
20 33 17.49 +41 17 09.2 O7.5V             5.63 13.85 13.47 11.88  8.354  7.889  7.649
20 33 26.77 +41 10 59.5 O7.5V             6.36 15.48 14.87 13.00  8.971  8.434  8.165
20 32 31.50 +41 14 08.0 O7.5III           8.03 16.48 15.38  99    7.820  7.080  6.637
